,k,metric,weights,valeur
0,2,l1,uniform,0.8454175238255175
1,2,l1,distance,0.8428565430958479
2,2,l2,uniform,0.8395818464251228
3,2,l2,distance,0.8354674839413914
4,2,manhattan,uniform,0.8454175238255175
5,2,manhattan,distance,0.8428565430958479
6,2,nan_euclidean,uniform,0.8395818464251228
7,2,nan_euclidean,distance,0.8354674839413914
8,2,minkowski,uniform,0.8395818464251228
9,2,minkowski,distance,0.8354674839413914
10,2,chebyshev,uniform,0.8317729543641631
11,2,chebyshev,distance,0.8188421008438641
12,2,cityblock,uniform,0.8454175238255175
13,2,cityblock,distance,0.8428565430958479
14,2,cosine,uniform,0.8396238297157731
15,2,cosine,distance,0.8350896343255384
16,2,euclidean,uniform,0.8395818464251228
17,2,euclidean,distance,0.8354674839413914
18,3,l1,uniform,0.8549477308031403
19,3,l1,distance,0.8565430958478526
20,3,l2,uniform,0.8476426382299844
21,3,l2,distance,0.8487342037868928
22,3,manhattan,uniform,0.8549477308031403
23,3,manhattan,distance,0.8565430958478526
24,3,nan_euclidean,uniform,0.8476426382299844
25,3,nan_euclidean,distance,0.8487342037868928
26,3,minkowski,uniform,0.8476426382299844
27,3,minkowski,distance,0.8487342037868928
28,3,chebyshev,uniform,0.8407573785633318
29,3,chebyshev,distance,0.8413451446324363
30,3,cityblock,uniform,0.8549477308031403
31,3,cityblock,distance,0.8565430958478526
32,3,cosine,uniform,0.8465510726730762
33,3,cosine,distance,0.8507494017381082
34,3,euclidean,uniform,0.8476426382299844
35,3,euclidean,distance,0.8487342037868928
36,4,l1,uniform,0.8497837860531509
37,4,l1,distance,0.858180444183215
38,4,l2,uniform,0.8480624711364877
39,4,l2,distance,0.8513371678072127
40,4,manhattan,uniform,0.8497837860531509
41,4,manhattan,distance,0.858180444183215
42,4,nan_euclidean,uniform,0.8480624711364877
43,4,nan_euclidean,distance,0.8513371678072127
44,4,minkowski,uniform,0.8480624711364877
45,4,minkowski,distance,0.8513371678072127
46,4,chebyshev,uniform,0.842226793736093
47,4,chebyshev,distance,0.8411352281791847
48,4,cityblock,uniform,0.8497837860531509
49,4,cityblock,distance,0.858180444183215
50,4,cosine,uniform,0.8478105713925858
51,4,cosine,distance,0.8521768336202191
52,4,euclidean,uniform,0.8480624711364877
53,4,euclidean,distance,0.8513371678072127
54,5,l1,uniform,0.8553255804189932
55,5,l1,distance,0.858180444183215
56,5,l2,uniform,0.8523867500734708
57,5,l2,distance,0.8535202989210294
58,5,manhattan,uniform,0.8553255804189932
59,5,manhattan,distance,0.858180444183215
60,5,nan_euclidean,uniform,0.8523867500734708
61,5,nan_euclidean,distance,0.8535202989210294
62,5,minkowski,uniform,0.8523867500734708
63,5,minkowski,distance,0.8535202989210294
64,5,chebyshev,uniform,0.8464671060917754
65,5,chebyshev,distance,0.846802972416978
66,5,cityblock,uniform,0.8553255804189932
67,5,cityblock,distance,0.858180444183215
68,5,cosine,uniform,0.8542759981527352
69,5,cosine,distance,0.8590201099962215
70,5,euclidean,uniform,0.8523867500734708
71,5,euclidean,distance,0.8535202989210294
72,6,l1,uniform,0.8531424493051766
73,6,l1,distance,0.8599437423905286
74,6,l2,uniform,0.8507494017381082
75,6,l2,distance,0.8565850791385029
76,6,manhattan,uniform,0.8531424493051766
77,6,manhattan,distance,0.8599437423905286
78,6,nan_euclidean,uniform,0.8507494017381082
79,6,nan_euclidean,distance,0.8565850791385029
80,6,minkowski,uniform,0.8507494017381082
81,6,minkowski,distance,0.8565850791385029
82,6,chebyshev,uniform,0.8449557076283639
83,6,chebyshev,distance,0.8483563541710399
84,6,cityblock,uniform,0.8531424493051766
85,6,cityblock,distance,0.8599437423905286
86,6,cosine,uniform,0.8514211343885134
87,6,cosine,distance,0.8589361434149209
88,6,euclidean,uniform,0.8507494017381082
89,6,euclidean,distance,0.8565850791385029
90,7,l1,uniform,0.8557034300348462
91,7,l1,distance,0.8581384608925647
92,7,l2,uniform,0.855157647256392
93,7,l2,distance,0.8562072295226499
94,7,manhattan,uniform,0.8557034300348462
95,7,manhattan,distance,0.8581384608925647
96,7,nan_euclidean,uniform,0.855157647256392
97,7,nan_euclidean,distance,0.8562072295226499
98,7,minkowski,uniform,0.855157647256392
99,7,minkowski,distance,0.8562072295226499
100,7,chebyshev,uniform,0.8498677526344515
101,7,chebyshev,distance,0.850581468575507
102,7,cityblock,uniform,0.8557034300348462
103,7,cityblock,distance,0.8581384608925647
104,7,cosine,uniform,0.856081279650699
105,7,cosine,distance,0.8610353079474369
106,7,euclidean,uniform,0.855157647256392
107,7,euclidean,distance,0.8562072295226499
108,8,l1,uniform,0.8548217809311894
109,8,l1,distance,0.8607414249128846
110,8,l2,uniform,0.8535622822116797
111,8,l2,distance,0.8587682102523195
112,8,manhattan,uniform,0.8548217809311894
113,8,manhattan,distance,0.8607414249128846
114,8,nan_euclidean,uniform,0.8535622822116797
115,8,nan_euclidean,distance,0.8587682102523195
116,8,minkowski,uniform,0.8535622822116797
117,8,minkowski,distance,0.8587682102523195
118,8,chebyshev,uniform,0.8467190058356774
119,8,chebyshev,distance,0.8513371678072127
120,8,cityblock,uniform,0.8548217809311894
121,8,cityblock,distance,0.8607414249128846
122,8,cosine,uniform,0.8538141819555817
123,8,cosine,distance,0.8598177925185776
124,8,euclidean,uniform,0.8535622822116797
125,8,euclidean,distance,0.8587682102523195
126,9,l1,uniform,0.857382761660859
127,9,l1,distance,0.8595239094840254
128,9,l2,uniform,0.8556614467441959
129,9,l2,distance,0.8570049120450061
130,9,manhattan,uniform,0.857382761660859
131,9,manhattan,distance,0.8595239094840254
132,9,nan_euclidean,uniform,0.8556614467441959
133,9,nan_euclidean,distance,0.8570049120450061
134,9,minkowski,uniform,0.8556614467441959
135,9,minkowski,distance,0.8570049120450061
136,9,chebyshev,uniform,0.8528065829799739
137,9,chebyshev,distance,0.8530164994332256
138,9,cityblock,uniform,0.857382761660859
139,9,cityblock,distance,0.8595239094840254
140,9,cosine,uniform,0.8572148284982577
141,9,cosine,distance,0.8609933246567866
142,9,euclidean,uniform,0.8556614467441959
143,9,euclidean,distance,0.8570049120450061
144,10,l1,uniform,0.8552416138376926
145,10,l1,distance,0.8600696922624795
146,10,l2,uniform,0.8546538477685881
147,10,l2,distance,0.85881019354297
148,10,manhattan,uniform,0.8552416138376926
149,10,manhattan,distance,0.8600696922624795
150,10,nan_euclidean,uniform,0.8546538477685881
151,10,nan_euclidean,distance,0.85881019354297
152,10,minkowski,uniform,0.8546538477685881
153,10,minkowski,distance,0.85881019354297
154,10,chebyshev,uniform,0.8492380032746967
155,10,chebyshev,distance,0.8533103824677778
156,10,cityblock,uniform,0.8552416138376926
157,10,cityblock,distance,0.8600696922624795
158,10,cosine,uniform,0.85490574751249
159,10,cosine,distance,0.8591040765775222
160,10,euclidean,uniform,0.8546538477685881
161,10,euclidean,distance,0.85881019354297
162,11,l1,uniform,0.8565011125572022
163,11,l1,distance,0.8586842436710189
164,11,l2,uniform,0.8570888786263068
165,11,l2,distance,0.8581384608925647
166,11,manhattan,uniform,0.8565011125572022
167,11,manhattan,distance,0.8586842436710189
168,11,nan_euclidean,uniform,0.8570888786263068
169,11,nan_euclidean,distance,0.8581384608925647
170,11,minkowski,uniform,0.8570888786263068
171,11,minkowski,distance,0.8581384608925647
172,11,chebyshev,uniform,0.8520928670389185
173,11,chebyshev,distance,0.8525966665267224
174,11,cityblock,uniform,0.8565011125572022
175,11,cityblock,distance,0.8586842436710189
176,11,cosine,uniform,0.8577606112767119
177,11,cosine,distance,0.8611612578193879
178,11,euclidean,uniform,0.8570888786263068
179,11,euclidean,distance,0.8581384608925647
180,12,l1,uniform,0.8554515302909442
181,12,l1,distance,0.8594399429027247
182,12,l2,uniform,0.8548637642218397
183,12,l2,distance,0.8587682102523195
184,12,manhattan,uniform,0.8554515302909442
185,12,manhattan,distance,0.8594399429027247
186,12,nan_euclidean,uniform,0.8548637642218397
187,12,nan_euclidean,distance,0.8587682102523195
188,12,minkowski,uniform,0.8548637642218397
189,12,minkowski,distance,0.8587682102523195
190,12,chebyshev,uniform,0.8508753516100592
191,12,chebyshev,distance,0.8535202989210294
192,12,cityblock,uniform,0.8554515302909442
193,12,cityblock,distance,0.8594399429027247
194,12,cosine,uniform,0.8559133464880977
195,12,cosine,distance,0.8613291909819891
196,12,euclidean,uniform,0.8548637642218397
197,12,euclidean,distance,0.8587682102523195
198,13,l1,uniform,0.8576766446954113
199,13,l1,distance,0.8593979596120744
200,13,l2,uniform,0.8570049120450061
201,13,l2,distance,0.8584743272177673
202,13,manhattan,uniform,0.8576766446954113
203,13,manhattan,distance,0.8593979596120744
204,13,nan_euclidean,uniform,0.8570049120450061
205,13,nan_euclidean,distance,0.8584743272177673
206,13,minkowski,uniform,0.8570049120450061
207,13,minkowski,distance,0.8584743272177673
208,13,chebyshev,uniform,0.8532264158864772
209,13,chebyshev,distance,0.853856165246232
210,13,cityblock,uniform,0.8576766446954113
211,13,cityblock,distance,0.8593979596120744
212,13,cosine,uniform,0.8580964776019144
213,13,cosine,distance,0.8623787732482472
214,13,euclidean,uniform,0.8570049120450061
215,13,euclidean,distance,0.8584743272177673
216,14,l1,uniform,0.8552416138376926
217,14,l1,distance,0.8600277089718292
218,14,l2,uniform,0.8552416138376926
219,14,l2,distance,0.85881019354297
220,14,manhattan,uniform,0.8552416138376926
221,14,manhattan,distance,0.8600277089718292
222,14,nan_euclidean,uniform,0.8552416138376926
223,14,nan_euclidean,distance,0.85881019354297
224,14,minkowski,uniform,0.8552416138376926
225,14,minkowski,distance,0.85881019354297
226,14,chebyshev,uniform,0.8520928670389185
227,14,chebyshev,distance,0.8545278978966372
228,14,cityblock,uniform,0.8552416138376926
229,14,cityblock,distance,0.8600277089718292
230,14,cosine,uniform,0.8553675637096435
231,14,cosine,distance,0.8613291909819891
232,14,euclidean,uniform,0.8552416138376926
233,14,euclidean,distance,0.85881019354297
234,15,l1,uniform,0.8581384608925647
235,15,l1,distance,0.8595658927746757
236,15,l2,uniform,0.8567110290104538
237,15,l2,distance,0.8579285444393131
238,15,manhattan,uniform,0.8581384608925647
239,15,manhattan,distance,0.8595658927746757
240,15,nan_euclidean,uniform,0.8567110290104538
241,15,nan_euclidean,distance,0.8579285444393131
242,15,minkowski,uniform,0.8567110290104538
243,15,minkowski,distance,0.8579285444393131
244,15,chebyshev,uniform,0.8537721986649314
245,15,chebyshev,distance,0.8547378143498887
246,15,cityblock,uniform,0.8581384608925647
247,15,cityblock,distance,0.8595658927746757
248,15,cosine,uniform,0.8574247449515093
249,15,cosine,distance,0.8608253914941854
250,15,euclidean,uniform,0.8567110290104538
251,15,euclidean,distance,0.8579285444393131
252,16,l1,uniform,0.8557454133254965
253,16,l1,distance,0.8599017590998782
254,16,l2,uniform,0.8554095470002939
255,16,l2,distance,0.8583483773458164
256,16,manhattan,uniform,0.8557454133254965
257,16,manhattan,distance,0.8599017590998782
258,16,nan_euclidean,uniform,0.8554095470002939
259,16,nan_euclidean,distance,0.8583483773458164
260,16,minkowski,uniform,0.8554095470002939
261,16,minkowski,distance,0.8583483773458164
262,16,chebyshev,uniform,0.8531004660145263
263,16,chebyshev,distance,0.8546538477685881
264,16,cityblock,uniform,0.8557454133254965
265,16,cityblock,distance,0.8599017590998782
266,16,cosine,uniform,0.8554095470002939
267,16,cosine,distance,0.8602796087157312
268,16,euclidean,uniform,0.8554095470002939
269,16,euclidean,distance,0.8583483773458164
270,17,l1,uniform,0.85881019354297
271,17,l1,distance,0.8598597758092279
272,17,l2,uniform,0.8572987950795583
273,17,l2,distance,0.8582224274738655
274,17,manhattan,uniform,0.85881019354297
275,17,manhattan,distance,0.8598597758092279
276,17,nan_euclidean,uniform,0.8572987950795583
277,17,nan_euclidean,distance,0.8582224274738655
278,17,minkowski,uniform,0.8572987950795583
279,17,minkowski,distance,0.8582224274738655
280,17,chebyshev,uniform,0.853982115118183
281,17,chebyshev,distance,0.8544019480246862
282,17,cityblock,uniform,0.85881019354297
283,17,cityblock,distance,0.8598597758092279
284,17,cosine,uniform,0.8566690457198035
285,17,cosine,distance,0.859607876065326
286,17,euclidean,uniform,0.8572987950795583
287,17,euclidean,distance,0.8582224274738655
288,18,l1,uniform,0.8564171459759016
289,18,l1,distance,0.8607834082035349
290,18,l2,uniform,0.8557873966161468
291,18,l2,distance,0.8587682102523195
292,18,manhattan,uniform,0.8564171459759016
293,18,manhattan,distance,0.8607834082035349
294,18,nan_euclidean,uniform,0.8557873966161468
295,18,nan_euclidean,distance,0.8587682102523195
296,18,minkowski,uniform,0.8557873966161468
297,18,minkowski,distance,0.8587682102523195
298,18,chebyshev,uniform,0.8526386498173727
299,18,chebyshev,distance,0.8544859146059868
