,city,lat,lng,climate
0,Sydney,-33.865,151.2094,Cfa
1,Melbourne,-37.8136,144.9631,Cfb
2,Brisbane,-27.4678,153.0281,Cfa
3,Perth,-31.9522,115.8589,Csa
4,Adelaide,-34.9275,138.6,Csa
5,Canberra,-35.2931,149.1269,Cfb
6,Wollongong,-34.4331,150.8831,Cfb
7,Hobart,-42.8806,147.325,Cfb
8,Townsville,-19.25,146.8167,Aw
9,Newcastle,-32.9167,151.75,Cfa
10,Cairns,-16.92,145.78,Am
11,Darwin,-12.4381,130.8411,Aw
12,Launceston,-41.4419,147.145,Cfb
13,Ballarat,-37.5608,143.8475,Cfb
14,Bendigo,-36.75,144.2667,Cfb
15,Mildura,-34.1889,142.1583,BSk
16,Albany,-35.0228,117.8814,Csb
17,Penrith,-33.7511,150.6942,Cfa
18,Sale,-38.1,147.0667,Cfb
19,Moree,-29.465,149.8344,Cfa
20,Portland,-38.3333,141.6,Csb
21,Nuriootpa,-34.4667,138.9833,Csb
22,Albury,-36.0806,146.9158,Cfa
23,Richmond,-33.5983,150.7511,Cfa
25,Katherine,-14.4667,132.2667,Aw
26,Woomera,-31.1496,136.8,BWh
27,AliceSprings,-23.7000,133.8667,BWh
28,BadgerysCreek,-33.8835,150.7414,Cfa
29,Cobar,-31.4991,145.8461,BSh
30,CoffsHarbour,-30.2963,153.1139,Cfa
31,Dartmoor,-37.9246,141.2705,Csb
32,GoldCoast,-28.0022,153.4263,Cfa
33,MelbourneAirport,-37.6738,144.8422,Cfb
34,MountGambier,-37.8284,140.7807,Csb
35,MountGinini,-35.5298,148.7714,Cfb
36,Nhil,-36.3372,141.6459,Cfb
37,NorahHead,-33.2741,151.5613,Cfa
38,NorfolkIsland,-29.0372,167.9529,Cfb
39,PearceRAAF,-35.3627,149.0831,Cfb
40,PerthAirport,-31.9387,115.9680,Csa
41,SalmonGums,-32.9802,121.6426,BSk
42,SydneyAirport,-33.9459,151.1816,Cfa
43,Tuggeranong,-35.5722,149.1340,Cfb
44,Uluru,-25.3443,131.0322,BSh
45,WaggaWagga,-35.1171,147.3568,Cfa
46,Walpole,-34.9756,116.7351,Csb
47,Watsonia,-37.7086,145.0831,Cfb
48,Williamtown,-32.8046,151.8508,Cfa
49,Witchcliffe,-34.0253,115.1000,Csb

















