,k,metric,weights,tp,tn,fp,fn,acc,pre,rec,f1s,spe
0,2,l1,uniform,2169,17968,552,3130,0.8454175238255175,0.7971334068357222,0.40932251368182676,0.5408977556109725,0.9701943844492441
1,2,l1,distance,3252,16824,1696,2047,0.8428565430958479,0.6572352465642683,0.6137006982449519,0.6347223577632477,0.9084233261339093
2,2,l2,uniform,2077,17921,599,3222,0.8395818464251228,0.7761584454409567,0.3919607473108134,0.5208777429467085,0.9676565874730022
3,2,l2,distance,3154,16746,1774,2145,0.8354674839413914,0.6400162337662337,0.5952066427627855,0.6167986701867606,0.9042116630669547
4,2,manhattan,uniform,2169,17968,552,3130,0.8454175238255175,0.7971334068357222,0.40932251368182676,0.5408977556109725,0.9701943844492441
5,2,manhattan,distance,3252,16824,1696,2047,0.8428565430958479,0.6572352465642683,0.6137006982449519,0.6347223577632477,0.9084233261339093
6,2,nan_euclidean,uniform,2077,17921,599,3222,0.8395818464251228,0.7761584454409567,0.3919607473108134,0.5208777429467085,0.9676565874730022
7,2,nan_euclidean,distance,3154,16746,1774,2145,0.8354674839413914,0.6400162337662337,0.5952066427627855,0.6167986701867606,0.9042116630669547
8,2,minkowski,uniform,2077,17921,599,3222,0.8395818464251228,0.7761584454409567,0.3919607473108134,0.5208777429467085,0.9676565874730022
9,2,minkowski,distance,3154,16746,1774,2145,0.8354674839413914,0.6400162337662337,0.5952066427627855,0.6167986701867606,0.9042116630669547
10,2,chebyshev,uniform,1922,17890,630,3377,0.8317729543641631,0.7531347962382445,0.36270994527269296,0.4896191567953126,0.9659827213822895
11,2,chebyshev,distance,2877,16627,1893,2422,0.8188421008438641,0.6031446540880503,0.5429326287978864,0.5714569470652497,0.8977861771058315
12,2,cityblock,uniform,2169,17968,552,3130,0.8454175238255175,0.7971334068357222,0.40932251368182676,0.5408977556109725,0.9701943844492441
13,2,cityblock,distance,3252,16824,1696,2047,0.8428565430958479,0.6572352465642683,0.6137006982449519,0.6347223577632477,0.9084233261339093
14,2,cosine,uniform,2087,17912,608,3212,0.8396238297157731,0.7743970315398887,0.3938478958294018,0.5221416062046536,0.967170626349892
15,2,cosine,distance,3144,16747,1773,2155,0.8350896343255384,0.6394142769981697,0.593319494244197,0.615505090054816,0.9042656587473002
16,2,euclidean,uniform,2077,17921,599,3222,0.8395818464251228,0.7761584454409567,0.3919607473108134,0.5208777429467085,0.9676565874730022
17,2,euclidean,distance,3154,16746,1774,2145,0.8354674839413914,0.6400162337662337,0.5952066427627855,0.6167986701867606,0.9042116630669547
18,3,l1,uniform,2969,17395,1125,2330,0.8549477308031403,0.7252076209086468,0.5602943951688998,0.6321728947088257,0.9392548596112311
19,3,l1,distance,3005,17397,1123,2294,0.8565430958478526,0.7279554263565892,0.5670881298358181,0.6375304975071603,0.9393628509719223
20,3,l2,uniform,2936,17254,1266,2363,0.8476426382299844,0.6987148976677773,0.554066805057558,0.6180402062940742,0.9316414686825054
21,3,l2,distance,2955,17261,1259,2344,0.8487342037868928,0.701233981964879,0.557652387242876,0.6212551245663829,0.9320194384449244
22,3,manhattan,uniform,2969,17395,1125,2330,0.8549477308031403,0.7252076209086468,0.5602943951688998,0.6321728947088257,0.9392548596112311
23,3,manhattan,distance,3005,17397,1123,2294,0.8565430958478526,0.7279554263565892,0.5670881298358181,0.6375304975071603,0.9393628509719223
24,3,nan_euclidean,uniform,2936,17254,1266,2363,0.8476426382299844,0.6987148976677773,0.554066805057558,0.6180402062940742,0.9316414686825054
25,3,nan_euclidean,distance,2955,17261,1259,2344,0.8487342037868928,0.701233981964879,0.557652387242876,0.6212551245663829,0.9320194384449244
26,3,minkowski,uniform,2936,17254,1266,2363,0.8476426382299844,0.6987148976677773,0.554066805057558,0.6180402062940742,0.9316414686825054
27,3,minkowski,distance,2955,17261,1259,2344,0.8487342037868928,0.701233981964879,0.557652387242876,0.6212551245663829,0.9320194384449244
28,3,chebyshev,uniform,2814,17212,1308,2485,0.8407573785633318,0.6826783114992722,0.5310435931307794,0.5973888122280012,0.9293736501079913
29,3,chebyshev,distance,2823,17217,1303,2476,0.8413451446324363,0.6841977702375182,0.5327420267975089,0.5990450928381963,0.9296436285097193
30,3,cityblock,uniform,2969,17395,1125,2330,0.8549477308031403,0.7252076209086468,0.5602943951688998,0.6321728947088257,0.9392548596112311
31,3,cityblock,distance,3005,17397,1123,2294,0.8565430958478526,0.7279554263565892,0.5670881298358181,0.6375304975071603,0.9393628509719223
32,3,cosine,uniform,2931,17233,1287,2368,0.8465510726730762,0.6948790896159317,0.5531232307982639,0.6159504045392454,0.9305075593952484
