,k,metric,weights,valeur
0,2,l1,uniform,0.5408977556109725
1,2,l1,distance,0.6347223577632477
2,2,l2,uniform,0.5208777429467085
3,2,l2,distance,0.6167986701867606
4,2,manhattan,uniform,0.5408977556109725
5,2,manhattan,distance,0.6347223577632477
6,2,nan_euclidean,uniform,0.5208777429467085
7,2,nan_euclidean,distance,0.6167986701867606
8,2,minkowski,uniform,0.5208777429467085
9,2,minkowski,distance,0.6167986701867606
10,2,chebyshev,uniform,0.4896191567953126
11,2,chebyshev,distance,0.5714569470652497
12,2,cityblock,uniform,0.5408977556109725
13,2,cityblock,distance,0.6347223577632477
14,2,cosine,uniform,0.5221416062046536
15,2,cosine,distance,0.615505090054816
16,2,euclidean,uniform,0.5208777429467085
17,2,euclidean,distance,0.6167986701867606
18,3,l1,uniform,0.6321728947088257
19,3,l1,distance,0.6375304975071603
20,3,l2,uniform,0.6180402062940742
21,3,l2,distance,0.6212551245663829
22,3,manhattan,uniform,0.6321728947088257
23,3,manhattan,distance,0.6375304975071603
24,3,nan_euclidean,uniform,0.6180402062940742
25,3,nan_euclidean,distance,0.6212551245663829
26,3,minkowski,uniform,0.6180402062940742
27,3,minkowski,distance,0.6212551245663829
28,3,chebyshev,uniform,0.5973888122280012
29,3,chebyshev,distance,0.5990450928381963
30,3,cityblock,uniform,0.6321728947088257
31,3,cityblock,distance,0.6375304975071603
32,3,cosine,uniform,0.6159504045392454
33,3,cosine,distance,0.6301113307668297
34,3,euclidean,uniform,0.6180402062940742
35,3,euclidean,distance,0.6212551245663829
36,4,l1,uniform,0.5634455832113227
37,4,l1,distance,0.643445218492717
38,4,l2,uniform,0.5619174434087884
39,4,l2,distance,0.6271454143413709
40,4,manhattan,uniform,0.5634455832113227
41,4,manhattan,distance,0.643445218492717
42,4,nan_euclidean,uniform,0.5619174434087884
43,4,nan_euclidean,distance,0.6271454143413709
44,4,minkowski,uniform,0.5619174434087884
45,4,minkowski,distance,0.6271454143413709
46,4,chebyshev,uniform,0.5401370533529123
47,4,chebyshev,distance,0.5981308411214954
48,4,cityblock,uniform,0.5634455832113227
49,4,cityblock,distance,0.643445218492717
50,4,cosine,uniform,0.5637260801540498
51,4,cosine,distance,0.6333437467458086
52,4,euclidean,uniform,0.5619174434087884
53,4,euclidean,distance,0.6271454143413709
54,5,l1,uniform,0.6193106495802033
55,5,l1,distance,0.6283828382838283
