,k,metric,weights,valeur
0,2,l1,uniform,0.7971334068357222
1,2,l1,distance,0.6572352465642683
2,2,l2,uniform,0.7761584454409567
3,2,l2,distance,0.6400162337662337
4,2,manhattan,uniform,0.7971334068357222
5,2,manhattan,distance,0.6572352465642683
6,2,nan_euclidean,uniform,0.7761584454409567
7,2,nan_euclidean,distance,0.6400162337662337
8,2,minkowski,uniform,0.7761584454409567
9,2,minkowski,distance,0.6400162337662337
10,2,chebyshev,uniform,0.7531347962382445
11,2,chebyshev,distance,0.6031446540880503
12,2,cityblock,uniform,0.7971334068357222
13,2,cityblock,distance,0.6572352465642683
14,2,cosine,uniform,0.7743970315398887
15,2,cosine,distance,0.6394142769981697
16,2,euclidean,uniform,0.7761584454409567
17,2,euclidean,distance,0.6400162337662337
18,3,l1,uniform,0.7252076209086468
19,3,l1,distance,0.7279554263565892
20,3,l2,uniform,0.6987148976677773
21,3,l2,distance,0.701233981964879
22,3,manhattan,uniform,0.7252076209086468
23,3,manhattan,distance,0.7279554263565892
24,3,nan_euclidean,uniform,0.6987148976677773
25,3,nan_euclidean,distance,0.701233981964879
26,3,minkowski,uniform,0.6987148976677773
27,3,minkowski,distance,0.701233981964879
28,3,chebyshev,uniform,0.6826783114992722
29,3,chebyshev,distance,0.6841977702375182
30,3,cityblock,uniform,0.7252076209086468
31,3,cityblock,distance,0.7279554263565892
32,3,cosine,uniform,0.6948790896159317
33,3,cosine,distance,0.7022263450834879
34,3,euclidean,uniform,0.6987148976677773
35,3,euclidean,distance,0.701233981964879
36,4,l1,uniform,0.7970314118053159
37,4,l1,distance,0.730059880239521
38,4,l2,uniform,0.7835921674544227
39,4,l2,distance,0.7093854216293473
40,4,manhattan,uniform,0.7970314118053159
41,4,manhattan,distance,0.730059880239521
42,4,nan_euclidean,uniform,0.7835921674544227
43,4,nan_euclidean,distance,0.7093854216293473
44,4,minkowski,uniform,0.7835921674544227
45,4,minkowski,distance,0.7093854216293473
46,4,chebyshev,uniform,0.768186564566655
47,4,chebyshev,distance,0.6839931989312606
48,4,cityblock,uniform,0.7970314118053159
49,4,cityblock,distance,0.730059880239521
50,4,cosine,uniform,0.7780730897009966
51,4,cosine,distance,0.7065520446096655
52,4,euclidean,uniform,0.7835921674544227
53,4,euclidean,distance,0.7093854216293473
54,5,l1,uniform,0.746869171329603
55,5,l1,distance,0.7533632286995515
56,5,l2,uniform,0.7312581063553826
57,5,l2,distance,0.7336086732059887
58,5,manhattan,uniform,0.746869171329603
59,5,manhattan,distance,0.7533632286995515
60,5,nan_euclidean,uniform,0.7312581063553826
61,5,nan_euclidean,distance,0.7336086732059887
62,5,minkowski,uniform,0.7312581063553826
63,5,minkowski,distance,0.7336086732059887
64,5,chebyshev,uniform,0.7145844223732357
65,5,chebyshev,distance,0.7151799687010955
66,5,cityblock,uniform,0.746869171329603
67,5,cityblock,distance,0.7533632286995515
68,5,cosine,uniform,0.7345995893223819
69,5,cosine,distance,0.7425643589102724
70,5,euclidean,uniform,0.7312581063553826
71,5,euclidean,distance,0.7336086732059887
72,6,l1,uniform,0.8051507963402237
73,6,l1,distance,0.757679180887372
74,6,l2,uniform,0.7860892388451444
75,6,l2,distance,0.7427171951533901
76,6,manhattan,uniform,0.8051507963402237
77,6,manhattan,distance,0.757679180887372
78,6,nan_euclidean,uniform,0.7860892388451444
79,6,nan_euclidean,distance,0.7427171951533901
80,6,minkowski,uniform,0.7860892388451444
81,6,minkowski,distance,0.7427171951533901
82,6,chebyshev,uniform,0.7714672075726843
83,6,chebyshev,distance,0.719947848761408
84,6,cityblock,uniform,0.8051507963402237
85,6,cityblock,distance,0.757679180887372
86,6,cosine,uniform,0.7844214608920491
87,6,cosine,distance,0.7450088450846601
88,6,euclidean,uniform,0.7860892388451444
89,6,euclidean,distance,0.7427171951533901
90,7,l1,uniform,0.7607843137254902
91,7,l1,distance,0.7649006622516556
92,7,l2,uniform,0.7499324141659908
93,7,l2,distance,0.7520172135556751
94,7,manhattan,uniform,0.7607843137254902
95,7,manhattan,distance,0.7649006622516556
96,7,nan_euclidean,uniform,0.7499324141659908
97,7,nan_euclidean,distance,0.7520172135556751
98,7,minkowski,uniform,0.7499324141659908
99,7,minkowski,distance,0.7520172135556751
100,7,chebyshev,uniform,0.7371318469584366
101,7,chebyshev,distance,0.7386176631925397
102,7,cityblock,uniform,0.7607843137254902
103,7,cityblock,distance,0.7649006622516556
104,7,cosine,uniform,0.7487370380218027
105,7,cosine,distance,0.7563805104408353
106,7,euclidean,uniform,0.7499324141659908
