,k,metric,weights,valeur
0,2,l1,uniform,0.40932251368182676
1,2,l1,distance,0.6137006982449519
2,2,l2,uniform,0.3919607473108134
3,2,l2,distance,0.5952066427627855
4,2,manhattan,uniform,0.40932251368182676
5,2,manhattan,distance,0.6137006982449519
6,2,nan_euclidean,uniform,0.3919607473108134
7,2,nan_euclidean,distance,0.5952066427627855
8,2,minkowski,uniform,0.3919607473108134
9,2,minkowski,distance,0.5952066427627855
10,2,chebyshev,uniform,0.36270994527269296
11,2,chebyshev,distance,0.5429326287978864
12,2,cityblock,uniform,0.40932251368182676
13,2,cityblock,distance,0.6137006982449519
14,2,cosine,uniform,0.3938478958294018
15,2,cosine,distance,0.593319494244197
16,2,euclidean,uniform,0.3919607473108134
17,2,euclidean,distance,0.5952066427627855
18,3,l1,uniform,0.5602943951688998
19,3,l1,distance,0.5670881298358181
20,3,l2,uniform,0.554066805057558
21,3,l2,distance,0.557652387242876
22,3,manhattan,uniform,0.5602943951688998
23,3,manhattan,distance,0.5670881298358181
24,3,nan_euclidean,uniform,0.554066805057558
25,3,nan_euclidean,distance,0.557652387242876
26,3,minkowski,uniform,0.554066805057558
27,3,minkowski,distance,0.557652387242876
28,3,chebyshev,uniform,0.5310435931307794
29,3,chebyshev,distance,0.5327420267975089
30,3,cityblock,uniform,0.5602943951688998
31,3,cityblock,distance,0.5670881298358181
32,3,cosine,uniform,0.5531232307982639
33,3,cosine,distance,0.5714285714285714
34,3,euclidean,uniform,0.554066805057558
35,3,euclidean,distance,0.557652387242876
36,4,l1,uniform,0.4357425929420645
37,4,l1,distance,0.5752028684657483
38,4,l2,uniform,0.43800717116437066
39,4,l2,distance,0.5619928288356294
40,4,manhattan,uniform,0.4357425929420645
41,4,manhattan,distance,0.5752028684657483
42,4,nan_euclidean,uniform,0.43800717116437066
43,4,nan_euclidean,distance,0.5619928288356294
44,4,minkowski,uniform,0.43800717116437066
45,4,minkowski,distance,0.5619928288356294
46,4,chebyshev,uniform,0.41649367805246273
47,4,chebyshev,distance,0.5314210228344971
48,4,cityblock,uniform,0.4357425929420645
49,4,cityblock,distance,0.5752028684657483
50,4,cosine,uniform,0.4419701830534063
51,4,cosine,distance,0.5738818645027364
52,4,euclidean,uniform,0.43800717116437066
53,4,euclidean,distance,0.5619928288356294
54,5,l1,uniform,0.5289677297603321
55,5,l1,distance,0.5389696169088507
