,k,metric,weights,valeur
0,2,l1,uniform,0.9701943844492441
1,2,l1,distance,0.9084233261339093
2,2,l2,uniform,0.9676565874730022
3,2,l2,distance,0.9042116630669547
4,2,manhattan,uniform,0.9701943844492441
5,2,manhattan,distance,0.9084233261339093
6,2,nan_euclidean,uniform,0.9676565874730022
7,2,nan_euclidean,distance,0.9042116630669547
8,2,minkowski,uniform,0.9676565874730022
9,2,minkowski,distance,0.9042116630669547
10,2,chebyshev,uniform,0.9659827213822895
11,2,chebyshev,distance,0.8977861771058315
12,2,cityblock,uniform,0.9701943844492441
13,2,cityblock,distance,0.9084233261339093
14,2,cosine,uniform,0.967170626349892
15,2,cosine,distance,0.9042656587473002
16,2,euclidean,uniform,0.9676565874730022
17,2,euclidean,distance,0.9042116630669547
18,3,l1,uniform,0.9392548596112311
19,3,l1,distance,0.9393628509719223
20,3,l2,uniform,0.9316414686825054
21,3,l2,distance,0.9320194384449244
22,3,manhattan,uniform,0.9392548596112311
23,3,manhattan,distance,0.9393628509719223
24,3,nan_euclidean,uniform,0.9316414686825054
25,3,nan_euclidean,distance,0.9320194384449244
26,3,minkowski,uniform,0.9316414686825054
27,3,minkowski,distance,0.9320194384449244
28,3,chebyshev,uniform,0.9293736501079913
29,3,chebyshev,distance,0.9296436285097193
30,3,cityblock,uniform,0.9392548596112311
31,3,cityblock,distance,0.9393628509719223
32,3,cosine,uniform,0.9305075593952484
33,3,cosine,distance,0.9306695464362851
34,3,euclidean,uniform,0.9316414686825054
35,3,euclidean,distance,0.9320194384449244
36,4,l1,uniform,0.9682505399568034
37,4,l1,distance,0.93914686825054
38,4,l2,uniform,0.9653887688984881
39,4,l2,distance,0.9341252699784017
40,4,manhattan,uniform,0.9682505399568034
41,4,manhattan,distance,0.93914686825054
42,4,nan_euclidean,uniform,0.9653887688984881
43,4,nan_euclidean,distance,0.9341252699784017
44,4,minkowski,uniform,0.9653887688984881
45,4,minkowski,distance,0.9341252699784017
46,4,chebyshev,uniform,0.9640388768898488
47,4,chebyshev,distance,0.9297516198704103
48,4,cityblock,uniform,0.9682505399568034
49,4,cityblock,distance,0.93914686825054
50,4,cosine,uniform,0.9639308855291576
51,4,cosine,distance,0.9318034557235421
52,4,euclidean,uniform,0.9653887688984881
53,4,euclidean,distance,0.9341252699784017
54,5,l1,uniform,0.9487041036717062
55,5,l1,distance,0.9495140388768899
56,5,l2,uniform,0.944060475161987
57,5,l2,distance,0.9442764578833693
58,5,manhattan,uniform,0.9487041036717062
59,5,manhattan,distance,0.9495140388768899
60,5,nan_euclidean,uniform,0.944060475161987
61,5,nan_euclidean,distance,0.9442764578833693
62,5,minkowski,uniform,0.944060475161987
63,5,minkowski,distance,0.9442764578833693
64,5,chebyshev,uniform,0.941036717062635
65,5,chebyshev,distance,0.941036717062635
66,5,cityblock,uniform,0.9487041036717062
67,5,cityblock,distance,0.9495140388768899
68,5,cosine,uniform,0.9441684665226782
69,5,cosine,distance,0.9443844492440605
70,5,euclidean,uniform,0.944060475161987
71,5,euclidean,distance,0.9442764578833693
72,6,l1,uniform,0.968952483801296
73,6,l1,distance,0.9501619870410367
74,6,l2,uniform,0.9647948164146868
75,6,l2,distance,0.9461123110151188
